,city,city_lat,city_lon,city_temp,city_hum,city_cloud,city_wind,city_country,city_date
87,roma,43.21,-75.46,37.4,86,1,3.36,US,1604924735
88,preeceville,51.95,-102.67,9.86,94,98,11.3,CA,1604924838
89,parana,-31.73,-60.52,62.65,93,100,9.28,AR,1604924838
90,taoudenni,22.68,-3.98,93.11,11,47,5.61,ML,1604924838
91,turukhansk,65.82,87.98,25.41,98,100,20.0,RU,1604924839
92,henderson,36.04,-114.98,42.01,64,75,3.36,US,1604924560
93,alofi,-19.06,-169.92,73.4,100,75,8.05,NU,1604924840
94,puerto ayora,-0.74,-90.35,68.0,90,93,7.0,EC,1604924840
95,new norfolk,-42.78,147.06,55.0,49,39,1.1,AU,1604924840
96,hermanus,-34.42,19.23,64.0,51,39,7.0,ZA,1604924841
97,novyy urengoy,66.08,76.63,10.81,96,97,7.56,RU,1604924841
98,aykhal,66.0,111.5,6.8,92,90,8.95,RU,1604924841
99,yellowknife,62.46,-114.35,28.4,86,75,12.75,CA,1604924594
100,la ligua,-32.45,-71.23,53.6,93,90,4.7,CL,1604924842
101,torbay,47.67,-52.73,35.01,74,90,10.29,CA,1604924842
102,auki,-8.77,160.7,79.09,81,88,2.06,SB,1604924843
103,hasaki,35.73,140.83,51.8,71,75,5.82,JP,1604924843
104,pochutla,15.74,-96.47,75.0,84,0,3.18,MX,1604924843
105,djibo,14.1,-1.63,93.16,10,29,12.62,BF,1604924844
106,bodden town,19.28,-81.25,80.6,88,75,14.99,KY,1604924844
107,avarua,-21.21,-159.78,71.6,94,99,10.29,CK,1604924844
108,yulara,-25.24,130.99,87.8,20,80,4.7,AU,1604924845
109,donskoye,45.46,41.97,53.51,82,8,8.95,RU,1604924845
110,dikson,73.51,80.55,3.65,94,100,10.31,RU,1604924845
111,severo-kurilsk,50.68,156.12,37.47,90,100,18.63,RU,1604924846
112,airai,-8.93,125.41,63.57,100,100,2.17,TL,1604924846
113,klaksvik,62.23,-6.59,50.0,100,100,9.17,FO,1604924847
114,waddan,29.16,16.14,71.53,39,6,11.03,LY,1604924847
115,khatanga,71.97,102.5,16.74,96,100,19.42,RU,1604924847
116,khorramshahr,30.44,48.17,89.6,49,40,4.7,IR,1604924848
117,albany,42.6,-73.97,46.0,100,20,1.74,US,1604924797
118,pisco,-13.7,-76.22,62.6,88,90,2.24,PE,1604924674
119,saint-leu,-21.15,55.28,78.8,74,75,24.16,RE,1604924848
120,broken hill,-31.95,141.43,82.4,23,75,9.17,AU,1604924674
121,chumikan,54.72,135.31,4.48,89,12,14.85,RU,1604924849
122,trelew,-43.25,-65.31,75.15,46,60,6.31,AR,1604924826
123,qaqortoq,60.72,-46.03,28.4,86,75,2.84,GL,1604924850
124,nanortalik,60.14,-45.24,25.63,96,100,23.58,GL,1604924850
125,camacha,33.08,-16.33,68.0,60,20,8.05,PT,1604924850
126,ilulissat,69.22,-51.1,15.8,66,75,5.82,GL,1604924851
127,thinadhoo,0.53,72.93,82.13,77,100,10.94,MV,1604924851
128,komsomolskiy,40.43,71.72,48.2,70,40,6.93,UZ,1604924851
129,hobart,-42.88,147.33,62.6,59,0,5.82,AU,1604924641
130,castro,-24.79,-50.01,68.34,71,82,7.49,BR,1604924852
131,esil,51.96,66.4,38.77,79,92,8.75,KZ,1604924852
132,trairi,-3.28,-39.27,86.88,58,26,14.83,BR,1604924640
133,bambous virieux,-20.34,57.76,78.8,65,75,13.87,MU,1604924853
134,la libertad,-2.23,-80.9,69.8,83,75,11.41,EC,1604924853
135,taksimo,56.34,114.88,12.88,93,98,1.59,RU,1604924854
136,babu,24.42,111.52,61.27,51,0,4.45,CN,1604924854
137,eyl,7.98,49.82,84.97,58,0,24.2,SO,1604924854
138,esso,55.93,158.7,6.85,80,11,2.64,RU,1604924855
139,cherskiy,68.75,161.3,3.11,94,99,4.07,RU,1604924855
140,buin,-33.73,-70.75,71.01,76,0,1.86,CL,1604924855
141,saint-francois,46.42,3.91,64.4,63,0,2.24,FR,1604924856
142,nizhniy tsasuchey,50.52,115.13,28.96,96,9,3.38,RU,1604924856
143,la palma,33.85,-118.05,48.2,75,1,4.7,US,1604924856
144,nikolskoye,59.7,30.79,42.01,93,75,11.18,RU,1604924857
145,caravelas,-17.71,-39.25,81.91,65,99,7.99,BR,1604924857
146,hambantota,6.12,81.12,78.8,100,75,3.36,LK,1604924857
147,henties bay,-22.12,14.28,64.0,72,75,11.99,NA,1604924858
148,arraial do cabo,-22.97,-42.03,77.0,94,90,6.93,BR,1604924858
149,lagos,6.58,3.75,86.0,74,75,9.17,NG,1604924859
150,vestmannaeyjar,63.44,-20.27,44.6,93,90,32.21,IS,1604924859
151,bakhmach,51.18,32.76,48.58,76,38,6.08,UA,1604924859
152,egvekinot,66.32,-179.17,16.43,97,81,13.96,RU,1604924860
153,bredasdorp,-34.53,20.04,66.2,42,2,12.75,ZA,1604924860
154,thetford mines,46.09,-71.3,42.8,87,9,2.24,CA,1604924860
155,victoria,22.29,114.16,73.99,73,97,3.0,HK,1604924825
156,mafra,-26.11,-49.81,59.0,95,100,1.01,BR,1604924861
157,saryozek,44.36,77.98,37.81,74,57,5.97,KZ,1604924663
158,longyearbyen,78.22,15.64,23.0,62,20,4.7,SJ,1604924862
159,lishu,43.3,124.33,24.46,75,0,4.18,CN,1604924862
160,tasiilaq,65.61,-37.64,34.14,94,100,41.79,GL,1604924862
161,klyuchi,52.27,79.17,36.14,84,88,22.93,RU,1604924863
162,grasse,43.67,6.92,68.0,72,20,5.82,FR,1604924863
163,labrea,-7.26,-64.8,78.37,83,100,3.38,BR,1604924863
164,vanimo,-2.67,141.3,80.94,78,88,4.76,PG,1604924864
165,sibu,2.3,111.82,77.0,100,40,6.93,MY,1604924864
166,manokwari,-0.87,134.08,81.52,76,96,3.87,ID,1604924864
167,zhezkazgan,47.8,67.71,41.0,56,75,35.79,KZ,1604924865
